,MORTGAGE30US,DATE
0,5.9159999999999995,2003-01-01
1,5.8425,2003-02-01
2,5.745,2003-03-01
3,5.8125,2003-04-01
4,5.484,2003-05-01
5,5.23,2003-06-01
6,5.6325,2003-07-01
7,6.264,2003-08-01
8,6.1475,2003-09-01
9,5.952,2003-10-01
10,5.9325,2003-11-01
11,5.8759999999999994,2003-12-01
12,5.7125,2004-01-01
13,5.635,2004-02-01
14,5.445,2004-03-01
15,5.83,2004-04-01
16,6.27,2004-05-01
17,6.2875,2004-06-01
18,6.056,2004-07-01
19,5.8675,2004-08-01
20,5.754,2004-09-01
21,5.7225,2004-10-01
22,5.73,2004-11-01
23,5.752,2004-12-01
24,5.71,2005-01-01
25,5.6275,2005-02-01
26,5.928,2005-03-01
27,5.855,2005-04-01
28,5.72,2005-05-01
29,5.582,2005-06-01
30,5.695,2005-07-01
31,5.82,2005-08-01
32,5.774,2005-09-01
33,6.065,2005-10-01
34,6.33,2005-11-01
35,6.272,2005-12-01
36,6.145,2006-01-01
37,6.2525,2006-02-01
38,6.324,2006-03-01
39,6.5075,2006-04-01
40,6.5975,2006-05-01
41,6.6819999999999995,2006-06-01
42,6.7625,2006-07-01
43,6.523999999999999,2006-08-01
44,6.4025,2006-09-01
45,6.3575,2006-10-01
46,6.24,2006-11-01
47,6.135,2006-12-01
48,6.2175,2007-01-01
49,6.285,2007-02-01
50,6.156000000000001,2007-03-01
51,6.18,2007-04-01
52,6.2620000000000005,2007-05-01
53,6.657500000000001,2007-06-01
54,6.695,2007-07-01
55,6.572,2007-08-01
56,6.3825,2007-09-01
57,6.375,2007-10-01
58,6.208,2007-11-01
59,6.095,2007-12-01
60,5.758,2008-01-01
61,5.9175,2008-02-01
62,5.97,2008-03-01
63,5.9175,2008-04-01
64,6.036,2008-05-01
65,6.32,2008-06-01
66,6.425999999999999,2008-07-01
67,6.4775,2008-08-01
68,6.0375,2008-09-01
69,6.2,2008-10-01
70,6.0875,2008-11-01
71,5.286,2008-12-01
72,5.047499999999999,2009-01-01
73,5.13,2009-02-01
74,5.0025,2009-03-01
75,4.8100000000000005,2009-04-01
76,4.8575,2009-05-01
77,5.42,2009-06-01
78,5.2219999999999995,2009-07-01
79,5.1925,2009-08-01
80,5.0575,2009-09-01
81,4.952,2009-10-01
82,4.875,2009-11-01
83,4.93,2009-12-01
84,5.03,2010-01-01
85,4.99,2010-02-01
86,4.9675,2010-03-01
87,5.098000000000001,2010-04-01
88,4.8875,2010-05-01
89,4.7375,2010-06-01
90,4.564,2010-07-01
91,4.4275,2010-08-01
92,4.346,2010-09-01
93,4.225,2010-10-01
94,4.3,2010-11-01
95,4.714,2010-12-01
96,4.755,2011-01-01
97,4.9525,2011-02-01
98,4.836,2011-03-01
99,4.84,2011-04-01
100,4.6375,2011-05-01
101,4.51,2011-06-01
102,4.545,2011-07-01
103,4.27,2011-08-01
104,4.106,2011-09-01
105,4.0675,2011-10-01
106,3.9925,2011-11-01
