,Date,Close Close price adjusted for splits.
0,"Jul 22, 2024","5,558.54"
1,"Jul 1, 2024","5,505.00"
2,"Jun 1, 2024","5,460.48"
3,"May 1, 2024","5,277.51"
4,"Apr 1, 2024","5,035.69"
5,"Mar 1, 2024","5,254.35"
6,"Feb 1, 2024","5,096.27"
7,"Jan 1, 2024","4,845.65"
8,"Dec 1, 2023","4,769.83"
9,"Nov 1, 2023","4,567.80"
10,"Oct 1, 2023","4,193.80"
11,"Sep 1, 2023","4,288.05"
12,"Aug 1, 2023","4,507.66"
13,"Jul 1, 2023","4,588.96"
14,"Jun 1, 2023","4,450.38"
15,"May 1, 2023","4,179.83"
16,"Apr 1, 2023","4,169.48"
17,"Mar 1, 2023","4,109.31"
18,"Feb 1, 2023","3,970.15"
19,"Jan 1, 2023","4,076.60"
20,"Dec 1, 2022","3,839.50"
21,"Nov 1, 2022","4,080.11"
22,"Oct 1, 2022","3,871.98"
23,"Sep 1, 2022","3,585.62"
24,"Aug 1, 2022","3,955.00"
25,"Jul 1, 2022","4,130.29"
26,"Jun 1, 2022","3,785.38"
27,"May 1, 2022","4,132.15"
28,"Apr 1, 2022","4,131.93"
29,"Mar 1, 2022","4,530.41"
30,"Feb 1, 2022","4,373.94"
31,"Jan 1, 2022","4,515.55"
32,"Dec 1, 2021","4,766.18"
33,"Nov 1, 2021","4,567.00"
34,"Oct 1, 2021","4,605.38"
35,"Sep 1, 2021","4,307.54"
36,"Aug 1, 2021","4,522.68"
37,"Jul 1, 2021","4,395.26"
38,"Jun 1, 2021","4,297.50"
39,"May 1, 2021","4,204.11"
40,"Apr 1, 2021","4,181.17"
41,"Mar 1, 2021","3,972.89"
42,"Feb 1, 2021","3,811.15"
43,"Jan 1, 2021","3,714.24"
44,"Dec 1, 2020","3,756.07"
45,"Nov 1, 2020","3,621.63"
46,"Oct 1, 2020","3,269.96"
47,"Sep 1, 2020","3,363.00"
48,"Aug 1, 2020","3,500.31"
49,"Jul 1, 2020","3,271.12"
50,"Jun 1, 2020","3,100.29"
51,"May 1, 2020","3,044.31"
52,"Apr 1, 2020","2,912.43"
53,"Mar 1, 2020","2,584.59"
54,"Feb 1, 2020","2,954.22"
55,"Jan 1, 2020","3,225.52"
56,"Dec 1, 2019","3,230.78"
57,"Nov 1, 2019","3,140.98"
58,"Oct 1, 2019","3,037.56"
59,"Sep 1, 2019","2,976.74"
60,"Aug 1, 2019","2,926.46"
61,"Jul 1, 2019","2,980.38"
62,"Jun 1, 2019","2,941.76"
63,"May 1, 2019","2,752.06"
64,"Apr 1, 2019","2,945.83"
65,"Mar 1, 2019","2,834.40"
66,"Feb 1, 2019","2,784.49"
67,"Jan 1, 2019","2,704.10"
68,"Dec 1, 2018","2,506.85"
69,"Nov 1, 2018","2,760.17"
70,"Oct 1, 2018","2,711.74"
71,"Sep 1, 2018","2,913.98"
72,"Aug 1, 2018","2,901.52"
73,"Jul 1, 2018","2,816.29"
74,"Jun 1, 2018","2,718.37"
75,"May 1, 2018","2,705.27"
76,"Apr 1, 2018","2,648.05"
77,"Mar 1, 2018","2,640.87"
78,"Feb 1, 2018","2,713.83"
79,"Jan 1, 2018","2,823.81"
80,"Dec 1, 2017","2,673.61"
81,"Nov 1, 2017","2,647.58"
82,"Oct 1, 2017","2,575.26"
83,"Sep 1, 2017","2,519.36"
84,"Aug 1, 2017","2,471.65"
85,"Jul 1, 2017","2,470.30"
86,"Jun 1, 2017","2,423.41"
87,"May 1, 2017","2,411.80"
88,"Apr 1, 2017","2,384.20"
89,"Mar 1, 2017","2,362.72"
90,"Feb 1, 2017","2,363.64"
91,"Jan 1, 2017","2,278.87"
92,"Dec 1, 2016","2,238.83"
93,"Nov 1, 2016","2,198.81"
94,"Oct 1, 2016","2,126.15"
95,"Sep 1, 2016","2,168.27"
96,"Aug 1, 2016","2,170.95"
97,"Jul 1, 2016","2,173.60"
98,"Jun 1, 2016","2,098.86"
99,"May 1, 2016","2,096.95"
100,"Apr 1, 2016","2,065.30"
101,"Mar 1, 2016","2,059.74"
102,"Feb 1, 2016","1,932.23"
103,"Jan 1, 2016","1,940.24"
104,"Dec 1, 2015","2,043.94"
105,"Nov 1, 2015","2,080.41"
106,"Oct 1, 2015","2,079.36"
107,"Sep 1, 2015","1,920.03"
108,"Aug 1, 2015","1,972.18"
109,"Jul 1, 2015","2,103.84"
110,"Jun 1, 2015","2,063.11"
111,"May 1, 2015","2,107.39"
112,"Apr 1, 2015","2,085.51"
113,"Mar 1, 2015","2,067.89"
114,"Feb 1, 2015","2,104.50"
115,"Jan 1, 2015","1,994.99"
116,"Dec 1, 2014","2,058.90"
117,"Nov 1, 2014","2,067.56"
118,"Oct 1, 2014","2,018.05"
119,"Sep 1, 2014","1,972.29"
120,"Aug 1, 2014","2,003.37"
121,"Jul 1, 2014","1,930.67"
122,"Jun 1, 2014","1,960.23"
123,"May 1, 2014","1,923.57"
124,"Apr 1, 2014","1,883.95"
125,"Mar 1, 2014","1,872.34"
126,"Feb 1, 2014","1,859.45"
127,"Jan 1, 2014","1,782.59"
128,"Dec 1, 2013","1,848.36"
129,"Nov 1, 2013","1,805.81"
130,"Oct 1, 2013","1,756.54"
131,"Sep 1, 2013","1,681.55"
132,"Aug 1, 2013","1,632.97"
133,"Jul 1, 2013","1,685.73"
134,"Jun 1, 2013","1,606.28"
135,"May 1, 2013","1,630.74"
136,"Apr 1, 2013","1,597.57"
137,"Mar 1, 2013","1,569.19"
138,"Feb 1, 2013","1,514.68"
139,"Jan 1, 2013","1,498.11"
140,"Dec 1, 2012","1,426.19"
141,"Nov 1, 2012","1,416.18"
142,"Oct 1, 2012","1,412.16"
143,"Sep 1, 2012","1,440.67"
144,"Aug 1, 2012","1,406.58"
145,"Jul 1, 2012","1,379.32"
146,"Jun 1, 2012","1,362.16"
147,"May 1, 2012","1,310.33"
148,"Apr 1, 2012","1,397.91"
149,"Mar 1, 2012","1,408.47"
150,"Feb 1, 2012","1,365.68"
151,"Jan 1, 2012","1,312.41"
152,"Dec 1, 2011","1,257.60"
153,"Nov 1, 2011","1,246.96"
154,"Oct 1, 2011","1,253.30"
155,"Sep 1, 2011","1,131.42"
156,"Aug 1, 2011","1,218.89"
157,"Jul 1, 2011","1,292.28"
158,"Jun 1, 2011","1,320.64"
159,"May 1, 2011","1,345.20"
160,"Apr 1, 2011","1,363.61"
161,"Mar 1, 2011","1,325.83"
162,"Feb 1, 2011","1,327.22"
163,"Jan 1, 2011","1,286.12"
164,"Dec 1, 2010","1,257.64"
165,"Nov 1, 2010","1,180.55"
166,"Oct 1, 2010","1,183.26"
167,"Sep 1, 2010","1,141.20"
168,"Aug 1, 2010","1,049.33"
169,"Jul 1, 2010","1,101.60"
170,"Jun 1, 2010","1,030.71"
171,"May 1, 2010","1,089.41"
172,"Apr 1, 2010","1,186.69"
173,"Mar 1, 2010","1,169.43"
174,"Feb 1, 2010","1,104.49"
175,"Jan 1, 2010","1,073.87"
176,"Dec 1, 2009","1,115.10"
177,"Nov 1, 2009","1,095.63"
178,"Oct 1, 2009","1,036.19"
179,"Sep 1, 2009","1,057.08"
180,"Aug 1, 2009","1,020.62"
181,"Jul 1, 2009",987.48
182,"Jun 1, 2009",919.32
183,"May 1, 2009",919.14
184,"Apr 1, 2009",872.81
185,"Mar 1, 2009",797.87
186,"Feb 1, 2009",735.09
187,"Jan 1, 2009",825.88
188,"Dec 1, 2008",903.25
189,"Nov 1, 2008",896.24
190,"Oct 1, 2008",968.75
191,"Sep 1, 2008","1,166.36"
192,"Aug 1, 2008","1,282.83"
193,"Jul 1, 2008","1,267.38"
194,"Jun 1, 2008","1,280.00"
195,"May 1, 2008","1,400.38"
196,"Apr 1, 2008","1,385.59"
197,"Mar 1, 2008","1,322.70"
198,"Feb 1, 2008","1,330.63"
199,"Jan 1, 2008","1,378.55"
200,"Dec 1, 2007","1,468.36"
201,"Nov 1, 2007","1,481.14"
202,"Oct 1, 2007","1,549.38"
203,"Sep 1, 2007","1,526.75"
204,"Aug 1, 2007","1,473.99"
205,"Jul 1, 2007","1,455.27"
206,"Jun 1, 2007","1,503.35"
207,"May 1, 2007","1,530.62"
208,"Apr 1, 2007","1,482.37"
209,"Mar 1, 2007","1,420.86"
210,"Feb 1, 2007","1,406.82"
211,"Jan 1, 2007","1,438.24"
212,"Dec 1, 2006","1,418.30"
213,"Nov 1, 2006","1,400.63"
214,"Oct 1, 2006","1,377.94"
215,"Sep 1, 2006","1,335.85"
216,"Aug 1, 2006","1,303.82"
217,"Jul 1, 2006","1,276.66"
218,"Jun 1, 2006","1,270.20"
219,"May 1, 2006","1,270.09"
220,"Apr 1, 2006","1,310.61"
221,"Mar 1, 2006","1,294.87"
222,"Feb 1, 2006","1,280.66"
223,"Jan 1, 2006","1,280.08"
224,"Dec 1, 2005","1,248.29"
225,"Nov 1, 2005","1,249.48"
226,"Oct 1, 2005","1,207.01"
227,"Sep 1, 2005","1,228.81"
228,"Aug 1, 2005","1,220.33"
229,"Jul 1, 2005","1,234.18"
230,"Jun 1, 2005","1,191.33"
231,"May 1, 2005","1,191.50"
232,"Apr 1, 2005","1,156.85"
233,"Mar 1, 2005","1,180.59"
234,"Feb 1, 2005","1,203.60"
235,"Jan 1, 2005","1,181.27"
236,"Dec 1, 2004","1,211.92"
237,"Nov 1, 2004","1,173.82"
238,"Oct 1, 2004","1,130.20"
239,"Sep 1, 2004","1,114.58"
240,"Aug 1, 2004","1,104.24"
241,"Jul 1, 2004","1,101.72"
