DATE,ACTLISCOUUS
2016-07-01,1463007.0
2016-08-01,1460048.0
2016-09-01,1443081.0
2016-10-01,1407698.0
2016-11-01,1339703.0
2016-12-01,1235985.0
2017-01-01,1154120.0
2017-02-01,1151120.0
2017-03-01,1172713.0
2017-04-01,1198424.0
2017-05-01,1253854.0
2017-06-01,1292371.0
2017-07-01,1322659.0
2017-08-01,1325358.0
2017-09-01,1308607.0
2017-10-01,1287322.0
2017-11-01,1228077.0
2017-12-01,1127799.0
2018-01-01,1043951.0
2018-02-01,1045153.0
2018-03-01,1067281.0
2018-04-01,1102064.0
2018-05-01,1156910.0
2018-06-01,1216504.0
2018-07-01,1261916.0
2018-08-01,1285666.0
2018-09-01,1301922.0
2018-10-01,1304682.0
2018-11-01,1273047.0
2018-12-01,1185865.0
2019-01-01,1110636.0
2019-02-01,1102660.0
2019-03-01,1115940.0
2019-04-01,1137198.0
2019-05-01,1180920.0
2019-06-01,1219807.0
2019-07-01,1239534.0
2019-08-01,1235257.0
2019-09-01,1224868.0
2019-10-01,1208311.0
2019-11-01,1143332.0
2019-12-01,1033887.0
2020-01-01,951675.0
2020-02-01,928343.0
2020-03-01,937319.0
2020-04-01,941733.0
2020-05-01,928370.0
2020-06-01,871557.0
2020-07-01,822834.0
2020-08-01,779558.0
2020-09-01,749395.0
2020-10-01,734040.0
2020-11-01,683822.0
2020-12-01,612300.0
2021-01-01,531775.0
2021-02-01,464919.0
2021-03-01,440589.0
2021-04-01,435663.0
2021-05-01,447662.0
2021-06-01,492425.0
2021-07-01,546686.0
2021-08-01,574638.0
2021-09-01,578070.0
2021-10-01,565707.0
2021-11-01,512241.0
2021-12-01,445303.0
2022-01-01,376970.0
2022-02-01,346511.0
2022-03-01,354016.0
2022-04-01,379978.0
2022-05-01,479462.0
2022-06-01,573650.0
2022-07-01,691652.0
2022-08-01,726779.0
2022-09-01,731496.0
2022-10-01,752741.0
2022-11-01,750200.0
2022-12-01,680925.0
2023-01-01,616865.0
2023-02-01,579264.0
2023-03-01,562444.0
2023-04-01,562966.0
2023-05-01,582441.0
2023-06-01,614326.0
2023-07-01,647135.0
2023-08-01,669750.0
2023-09-01,702430.0
2023-10-01,738082.0
2023-11-01,755489.0
2023-12-01,714176.0
2024-01-01,665569.0
2024-02-01,664716.0
2024-03-01,694820.0
2024-04-01,734318.0
2024-05-01,787722.0
2024-06-01,839992.0
