,index,DATE,ACTLISCOUUS,Diff_house_inventory
0,0,2003-01-01,0.0,
1,1,2003-02-01,0.0,0.0
2,2,2003-03-01,0.0,0.0
3,3,2003-04-01,0.0,0.0
4,4,2003-05-01,0.0,0.0
5,5,2003-06-01,0.0,0.0
6,6,2003-07-01,0.0,0.0
7,7,2003-08-01,0.0,0.0
8,8,2003-09-01,0.0,0.0
9,9,2003-10-01,0.0,0.0
10,10,2003-11-01,0.0,0.0
11,11,2003-12-01,0.0,0.0
12,12,2004-01-01,0.0,0.0
13,13,2004-02-01,0.0,0.0
14,14,2004-03-01,0.0,0.0
15,15,2004-04-01,0.0,0.0
16,16,2004-05-01,0.0,0.0
17,17,2004-06-01,0.0,0.0
18,18,2004-07-01,0.0,0.0
19,19,2004-08-01,0.0,0.0
20,20,2004-09-01,0.0,0.0
21,21,2004-10-01,0.0,0.0
22,22,2004-11-01,0.0,0.0
23,23,2004-12-01,0.0,0.0
24,24,2005-01-01,0.0,0.0
25,25,2005-02-01,0.0,0.0
26,26,2005-03-01,0.0,0.0
27,27,2005-04-01,0.0,0.0
28,28,2005-05-01,0.0,0.0
29,29,2005-06-01,0.0,0.0
30,30,2005-07-01,0.0,0.0
31,31,2005-08-01,0.0,0.0
32,32,2005-09-01,0.0,0.0
33,33,2005-10-01,0.0,0.0
34,34,2005-11-01,0.0,0.0
35,35,2005-12-01,0.0,0.0
36,36,2006-01-01,0.0,0.0
37,37,2006-02-01,0.0,0.0
38,38,2006-03-01,0.0,0.0
39,39,2006-04-01,0.0,0.0
40,40,2006-05-01,0.0,0.0
41,41,2006-06-01,0.0,0.0
42,42,2006-07-01,0.0,0.0
43,43,2006-08-01,0.0,0.0
44,44,2006-09-01,0.0,0.0
45,45,2006-10-01,0.0,0.0
46,46,2006-11-01,0.0,0.0
47,47,2006-12-01,0.0,0.0
48,48,2007-01-01,0.0,0.0
49,49,2007-02-01,0.0,0.0
50,50,2007-03-01,0.0,0.0
51,51,2007-04-01,0.0,0.0
52,52,2007-05-01,0.0,0.0
53,53,2007-06-01,0.0,0.0
54,54,2007-07-01,0.0,0.0
55,55,2007-08-01,0.0,0.0
56,56,2007-09-01,0.0,0.0
57,57,2007-10-01,0.0,0.0
58,58,2007-11-01,0.0,0.0
59,59,2007-12-01,0.0,0.0
60,60,2008-01-01,0.0,0.0
61,61,2008-02-01,0.0,0.0
62,62,2008-03-01,0.0,0.0
63,63,2008-04-01,0.0,0.0
64,64,2008-05-01,0.0,0.0
65,65,2008-06-01,0.0,0.0
66,66,2008-07-01,0.0,0.0
67,67,2008-08-01,0.0,0.0
68,68,2008-09-01,0.0,0.0
69,69,2008-10-01,0.0,0.0
70,70,2008-11-01,0.0,0.0
71,71,2008-12-01,0.0,0.0
72,72,2009-01-01,0.0,0.0
73,73,2009-02-01,0.0,0.0
74,74,2009-03-01,0.0,0.0
75,75,2009-04-01,0.0,0.0
76,76,2009-05-01,0.0,0.0
77,77,2009-06-01,0.0,0.0
78,78,2009-07-01,0.0,0.0
79,79,2009-08-01,0.0,0.0
80,80,2009-09-01,0.0,0.0
81,81,2009-10-01,0.0,0.0
82,82,2009-11-01,0.0,0.0
83,83,2009-12-01,0.0,0.0
84,84,2010-01-01,0.0,0.0
85,85,2010-02-01,0.0,0.0
86,86,2010-03-01,0.0,0.0
87,87,2010-04-01,0.0,0.0
88,88,2010-05-01,0.0,0.0
89,89,2010-06-01,0.0,0.0
90,90,2010-07-01,0.0,0.0
91,91,2010-08-01,0.0,0.0
92,92,2010-09-01,0.0,0.0
93,93,2010-10-01,0.0,0.0
94,94,2010-11-01,0.0,0.0
95,95,2010-12-01,0.0,0.0
96,96,2011-01-01,0.0,0.0
97,97,2011-02-01,0.0,0.0
98,98,2011-03-01,0.0,0.0
99,99,2011-04-01,0.0,0.0
100,100,2011-05-01,0.0,0.0
101,101,2011-06-01,0.0,0.0
102,102,2011-07-01,0.0,0.0
103,103,2011-08-01,0.0,0.0
104,104,2011-09-01,0.0,0.0
105,105,2011-10-01,0.0,0.0
106,106,2011-11-01,0.0,0.0
107,107,2011-12-01,0.0,0.0
108,108,2012-01-01,0.0,0.0
109,109,2012-02-01,0.0,0.0
110,110,2012-03-01,0.0,0.0
111,111,2012-04-01,0.0,0.0
112,112,2012-05-01,0.0,0.0
113,113,2012-06-01,0.0,0.0
114,114,2012-07-01,0.0,0.0
115,115,2012-08-01,0.0,0.0
116,116,2012-09-01,0.0,0.0
117,117,2012-10-01,0.0,0.0
118,118,2012-11-01,0.0,0.0
119,119,2012-12-01,0.0,0.0
120,120,2013-01-01,0.0,0.0
121,121,2013-02-01,0.0,0.0
122,122,2013-03-01,0.0,0.0
123,123,2013-04-01,0.0,0.0
124,124,2013-05-01,0.0,0.0
125,125,2013-06-01,0.0,0.0
126,126,2013-07-01,0.0,0.0
