Month,Total,1 unit,2 to 4,5 units,Northeast,,Midwest,,South,,West,
,,,units,or more,Total,1 unit,Total,1 unit,Total,1 unit,Total,1 unit
Jan 1968,88.1,59.4,5.5,23.1,12.9,(NA),22.6,(NA),35.6,(NA),17.0,(NA)
Feb 1968,83.1,54.3,5.4,23.3,9.7,(NA),23.3,(NA),31.5,(NA),18.6,(NA)
Mar 1968,94.9,59.7,6.4,28.9,10.7,(NA),24.4,(NA),42.5,(NA),17.4,(NA)
Apr 1968,102.4,67.3,7.0,28.1,12.0,(NA),27.0,(NA),42.9,(NA),20.6,(NA)
May 1968,111.3,73.0,6.1,32.1,20.0,(NA),25.1,(NA),46.2,(NA),20.0,(NA)
Jun 1968,104.5,69.7,5.2,29.6,16.8,(NA),26.9,(NA),37.7,(NA),23.2,(NA)
Jul 1968,117.3,79.7,7.5,30.0,20.1,(NA),25.7,(NA),50.3,(NA),21.2,(NA)
Aug 1968,118.4,78.1,5.7,34.6,15.3,(NA),33.4,(NA),46.6,(NA),23.1,(NA)
Sep 1968,135.6,83.3,8.5,43.8,27.0,(NA),37.9,(NA),48.7,(NA),22.0,(NA)
Oct 1968,127.8,78.9,8.3,40.6,20.5,(NA),34.2,(NA),50.2,(NA),23.0,(NA)
Nov 1968,114.3,75.1,5.2,34.0,14.4,(NA),35.8,(NA),45.7,(NA),18.4,(NA)
Dec 1968,122.1,80.1,6.6,35.4,19.5,(NA),31.2,(NA),49.8,(NA),21.6,(NA)
Jan 1969,88.8,56.4,4.9,27.6,11.0,(NA),18.0,(NA),40.1,(NA),19.7,(NA)
Feb 1969,96.0,59.2,5.2,31.6,14.9,(NA),23.3,(NA),34.8,(NA),23.0,(NA)
Mar 1969,114.9,62.2,6.3,46.3,17.0,(NA),23.5,(NA),53.3,(NA),21.1,(NA)
Apr 1969,98.8,55.1,6.8,36.9,14.8,(NA),24.9,(NA),38.1,(NA),20.9,(NA)
May 1969,118.0,66.8,8.1,43.1,17.9,(NA),26.4,(NA),50.9,(NA),22.8,(NA)
Jun 1969,131.7,76.6,7.6,47.5,22.9,(NA),31.6,(NA),53.7,(NA),23.5,(NA)
Jul 1969,118.6,69.9,6.4,42.3,19.5,(NA),27.3,(NA),46.5,(NA),25.4,(NA)
Aug 1969,126.4,73.3,8.2,45.0,21.5,(NA),36.7,(NA),45.8,(NA),22.3,(NA)
Sep 1969,133.8,72.3,8.1,53.4,21.0,(NA),39.8,(NA),48.4,(NA),24.5,(NA)
Oct 1969,136.4,78.6,7.0,50.9,23.5,(NA),35.2,(NA),49.4,(NA),28.4,(NA)
Nov 1969,113.1,65.5,5.2,42.4,18.1,(NA),29.6,(NA),38.9,(NA),26.4,(NA)
Dec 1969,122.7,71.7,6.0,45.0,17.7,(NA),28.4,(NA),53.2,(NA),23.4,(NA)
Jan 1970,105.1,56.1,6.8,42.3,13.2,(NA),23.1,(NA),43.7,(NA),25.2,(NA)
Feb 1970,97.1,51.7,6.1,39.3,13.2,(NA),19.6,(NA),39.6,(NA),24.5,(NA)
Mar 1970,95.8,49.3,7.1,39.5,13.3,(NA),17.5,(NA),40.0,(NA),25.0,(NA)
