DATE,CPIAUCSL_CH1
2003-01-01,4.900
2003-02-01,5.600
2003-03-01,5.400
2003-04-01,3.900
2003-05-01,3.400
2003-06-01,3.500
2003-07-01,3.700
2003-08-01,4.0
2003-09-01,4.300
2003-10-01,3.7
2003-11-01,3.500
2003-12-01,3.700
2004-01-01,3.700
2004-02-01,3.100
2004-03-01,3.200
2004-04-01,4.200
2004-05-01,5.300
2004-06-01,5.800
2004-07-01,5.400
2004-08-01,4.700
2004-09-01,4.700
2004-10-01,5.9
2004-11-01,6.700
2004-12-01,6.200
2005-01-01,5.300
2005-02-01,5.700
2005-03-01,6.000
2005-04-01,6.300
2005-05-01,5.400
2005-06-01,4.800
2005-07-01,5.800
2005-08-01,6.900
2005-09-01,9.000
2005-10-01,8.300
2005-11-01,6.400
2005-12-01,6.400
2006-01-01,7.700
2006-02-01,7.000
2006-03-01,6.600
2006-04-01,7.000
2006-05-01,7.700
2006-06-01,8.100
2006-07-01,8.000
2006-08-01,7.700
2006-09-01,4.000
2006-10-01,2.800
2006-11-01,3.900
2006-12-01,5.000
2007-01-01,4.137
2007-02-01,4.826
2007-03-01,5.588
2007-04-01,5.204
2007-05-01,5.455
2007-06-01,5.434
2007-07-01,4.703
2007-08-01,3.867
2007-09-01,5.747
2007-10-01,7.290
2007-11-01,8.834
2007-12-01,8.345
2008-01-01,8.737
2008-02-01,8.461
2008-03-01,8.160
2008-04-01,8.038
2008-05-01,8.453
2008-06-01,10.229
2008-07-01,11.413
2008-08-01,11.023
2008-09-01,10.330
2008-10-01,7.805
2008-11-01,2.319
2008-12-01,-0.047
2009-01-01,-0.241
2009-02-01,0.018
2009-03-01,-0.953
2009-04-01,-1.233
2009-05-01,-2.186
2009-06-01,-2.673
2009-07-01,-4.290
2009-08-01,-3.245
2009-09-01,-3.016
2009-10-01,-0.486
2009-11-01,4.081
2009-12-01,5.949
2010-01-01,5.555
2010-02-01,4.576
2010-03-01,4.858
2010-04-01,4.694
2010-05-01,4.268
2010-06-01,2.409
2010-07-01,2.879
2010-08-01,2.478
2010-09-01,2.414
2010-10-01,2.526
2010-11-01,2.356
2010-12-01,3.125
2011-01-01,3.699
2011-02-01,4.617
2011-03-01,5.693
2011-04-01,6.690
2011-05-01,7.516
2011-06-01,7.607
2011-07-01,7.790
2011-08-01,8.183
2011-09-01,8.322
2011-10-01,7.715
2011-11-01,7.579
2011-12-01,6.751
2012-01-01,6.655
2012-02-01,6.431
2012-03-01,5.761
2012-04-01,5.094
2012-05-01,3.907
2012-06-01,3.718
2012-07-01,3.195
2012-08-01,3.812
2012-09-01,4.418
2012-10-01,4.888
2012-11-01,4.080
2012-12-01,3.998
2013-01-01,3.837
2013-02-01,4.608
2013-03-01,3.475
2013-04-01,2.610
2013-05-01,3.180
2013-06-01,3.921
2013-07-01,4.310
2013-08-01,3.538
2013-09-01,2.529
2013-10-01,2.031
2013-11-01,2.851
2013-12-01,3.498
2014-01-01,3.609
2014-02-01,2.610
2014-03-01,3.746
2014-04-01,4.671
2014-05-01,5.025
2014-06-01,4.786
2014-07-01,4.598
2014-08-01,4.004
2014-09-01,3.933
2014-10-01,3.761
2014-11-01,2.883
2014-12-01,1.533
2015-01-01,-0.541
2015-02-01,-0.205
2015-03-01,-0.052
2015-04-01,-0.246
2015-05-01,0.083
2015-06-01,0.426
2015-07-01,0.536
2015-08-01,0.573
2015-09-01,0.021
2015-10-01,0.303
2015-11-01,1.034
2015-12-01,1.509
2016-01-01,2.905
2016-02-01,1.994
2016-03-01,2.104
2016-04-01,2.770
2016-05-01,2.556
2016-06-01,2.565
2016-07-01,2.067
2016-08-01,2.512
2016-09-01,3.678
2016-10-01,4.008
2016-11-01,4.009
2016-12-01,4.876
2017-01-01,5.966
2017-02-01,6.670
2017-03-01,5.812
2017-04-01,5.201
2017-05-01,4.447
2017-06-01,3.941
2017-07-01,4.142
2017-08-01,4.638
2017-09-01,5.259
2017-10-01,4.885
2017-11-01,5.258
2017-12-01,5.168
2018-01-01,5.241
2018-02-01,5.523
2018-03-01,5.685
2018-04-01,6.034
2018-05-01,6.788
2018-06-01,6.855
2018-07-01,6.971
2018-08-01,6.480
2018-09-01,5.747
2018-10-01,6.146
2018-11-01,5.310
2018-12-01,4.962
2019-01-01,3.702
2019-02-01,3.790
2019-03-01,4.700
2019-04-01,5.006
2019-05-01,4.504
2019-06-01,4.195
2019-07-01,4.588
2019-08-01,4.373
2019-09-01,4.248
2019-10-01,4.383
2019-11-01,5.285
2019-12-01,5.863
2020-01-01,6.345
2020-02-01,5.927
2020-03-01,3.873
2020-04-01,0.893
2020-05-01,0.552
2020-06-01,1.791
2020-07-01,2.606
2020-08-01,3.330
2020-09-01,3.521
2020-10-01,3.094
2020-11-01,3.016
2020-12-01,3.375
2021-01-01,3.612
2021-02-01,4.337
2021-03-01,6.760
2021-04-01,10.626
2021-05-01,12.604
2021-06-01,13.660
2021-07-01,13.586
2021-08-01,13.423
2021-09-01,13.936
2021-10-01,16.185
2021-11-01,17.904
2021-12-01,18.803
2022-01-01,19.872
2022-02-01,20.952
2022-03-01,22.643
2022-04-01,22.012
2022-05-01,22.907
2022-06-01,24.332
2022-07-01,22.983
2022-08-01,22.420
2022-09-01,22.454
2022-10-01,21.429
2022-11-01,19.849
2022-12-01,18.004
2023-01-01,17.966
2023-02-01,16.974
2023-03-01,14.191
2023-04-01,14.268
2023-05-01,12.006
2023-06-01,9.007
2023-07-01,9.651
2023-08-01,10.978
2023-09-01,10.947
2023-10-01,9.668
2023-11-01,9.376
2023-12-01,9.930
2024-01-01,9.329
2024-02-01,9.545
2024-03-01,10.486
2024-04-01,10.175
2024-05-01,9.860
2024-06-01,9.046
