,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,DATE,house_price,gdp_growth,house_inventory,Diff_house_inventory,inflation,material_cost,mortgage_rate,population_growth,shares,Unemployment,vacancy_rate,Total,1 unit,2 to 4,5 units,5 ratio,house_price_diff,rent_price
0,0,0,0,2003-01-01,128.461,2.795605965883,0.0,0.0,4.9,0.0,5.916,0.859481712840946,855.7,0.0,9.4,113.3,90.1,3.4,19.8,0.174757281553398,,203.3
1,1,1,1,2003-02-01,129.356,2.795605965883,0.0,0.0,5.6,0.0,5.8425,0.859481712840946,841.15,0.0,9.466666666666669,115.7,92.3,1.7,21.7,0.1875540190146931,0.8949999999999818,203.7
2,2,2,2,2003-03-01,130.148,2.795605965883,0.0,0.0,5.4,0.0,5.745,0.859481712840946,848.18,0.0,9.533333333333331,125.4,101.0,3.5,20.9,0.1666666666666666,0.7920000000000016,204.1
3,3,3,3,2003-04-01,130.885,2.795605965883,0.0,0.0,3.9,0.0,5.8125,0.859481712840946,916.92,0.0,9.6,129.5,105.2,3.1,21.3,0.1644787644787644,0.7369999999999948,204.5
4,4,4,4,2003-05-01,131.735,2.795605965883,0.0,0.0,3.4,0.0,5.484,0.859481712840946,963.59,0.0,9.7,142.9,113.4,2.6,26.9,0.1882435269419174,0.8500000000000227,204.9
5,5,5,5,2003-06-01,132.649,2.795605965883,0.0,0.0,3.5,0.0,5.23,0.859481712840946,974.5,0.0,9.8,144.2,117.1,2.3,24.8,0.1719833564493758,0.9139999999999872,205.1
6,6,6,6,2003-07-01,133.77700000000002,2.795605965883,0.0,0.0,3.7,0.0,5.6325,0.859481712840946,990.31,0.0,9.9,141.6,117.5,2.7,21.4,0.1511299435028248,1.1280000000000143,205.6
7,7,7,7,2003-08-01,134.968,2.795605965883,0.0,0.0,4.0,0.0,6.264,0.859481712840946,1008.01,0.0,10.0,143.2,117.1,2.1,24.0,0.1675977653631285,1.190999999999974,206.1
8,8,8,8,2003-09-01,136.29399999999998,2.795605965883,0.0,0.0,4.3,0.0,6.1475,0.859481712840946,995.97,0.0,10.1,152.5,126.6,3.7,22.1,0.1449180327868852,1.3259999999999934,206.6
9,9,9,9,2003-10-01,137.532,2.795605965883,0.0,0.0,3.7,0.0,5.952,0.859481712840946,1050.71,0.0,10.2,155.4,135.2,1.7,18.5,0.119047619047619,1.238000000000028,206.9
10,10,10,10,2003-11-01,138.795,2.795605965883,0.0,0.0,3.5,0.0,5.9325,0.859481712840946,1058.2,0.0,10.266666666666666,148.5,129.4,1.8,17.3,0.1164983164983165,1.2629999999999768,207.5
11,11,11,11,2003-12-01,140.18,2.795605965883,0.0,0.0,3.7,100.0,5.876,0.859481712840946,1111.92,0.0,10.333333333333334,166.4,141.4,3.0,22.0,0.1322115384615384,1.385000000000019,207.9
