,Unnamed: 0,DATE,house_price,gdp_growth,house_inventory,Diff_house_inventory,inflation,material_cost,mortgage_rate,population_growth,shares,Unemployment,vacancy_rate,Total,1 unit,2 to 4,5 units
0,0,2003-01-01,128.461,2.795605965883,0.0,0.0,4.9,0.0,5.916,0.859481712840946,855.70,0.0,9.4,113.3,90.1,3.4,19.8
1,1,2003-02-01,129.356,2.795605965883,0.0,0.0,5.6,0.0,5.8425,0.859481712840946,841.15,0.0,0.0,115.7,92.3,1.7,21.7
2,2,2003-03-01,130.148,2.795605965883,0.0,0.0,5.4,0.0,5.745,0.859481712840946,848.18,0.0,0.0,125.4,101.0,3.5,20.9
3,3,2003-04-01,130.885,2.795605965883,0.0,0.0,3.9,0.0,5.8125,0.859481712840946,916.92,0.0,9.6,129.5,105.2,3.1,21.3
4,4,2003-05-01,131.735,2.795605965883,0.0,0.0,3.4,0.0,5.484,0.859481712840946,963.59,0.0,0.0,142.9,113.4,2.6,26.9
5,5,2003-06-01,132.649,2.795605965883,0.0,0.0,3.5,0.0,5.23,0.859481712840946,974.50,0.0,0.0,144.2,117.1,2.3,24.8
6,6,2003-07-01,133.77700000000002,2.795605965883,0.0,0.0,3.7,0.0,5.6325,0.859481712840946,990.31,0.0,9.9,141.6,117.5,2.7,21.4
7,7,2003-08-01,134.968,2.795605965883,0.0,0.0,4.0,0.0,6.264,0.859481712840946,"1,008.01",0.0,0.0,143.2,117.1,2.1,24.0
8,8,2003-09-01,136.29399999999998,2.795605965883,0.0,0.0,4.3,0.0,6.1475,0.859481712840946,995.97,0.0,0.0,152.5,126.6,3.7,22.1
9,9,2003-10-01,137.532,2.795605965883,0.0,0.0,3.7,0.0,5.952,0.859481712840946,"1,050.71",0.0,10.2,155.4,135.2,1.7,18.5
10,10,2003-11-01,138.795,2.795605965883,0.0,0.0,3.5,0.0,5.9325,0.859481712840946,"1,058.20",0.0,0.0,148.5,129.4,1.8,17.3
11,11,2003-12-01,140.18,2.795605965883,0.0,0.0,3.7,100.0,5.876,0.859481712840946,"1,111.92",0.0,0.0,166.4,141.4,3.0,22.0
12,12,2004-01-01,141.64700000000002,3.84777169205226,0.0,0.0,3.7,102.5,5.7125,0.925483968943482,"1,131.13",0.0,10.4,118.6,99.4,0.9,18.2
13,13,2004-02-01,143.192,3.84777169205226,0.0,0.0,3.1,104.1,5.635,0.925483968943482,"1,144.94",0.0,0.0,119.5,101.2,2.1,16.2
14,14,2004-03-01,145.058,3.84777169205226,0.0,0.0,3.2,105.1,5.445,0.925483968943482,"1,126.21",0.0,0.0,137.0,115.1,1.5,20.4
15,15,2004-04-01,146.592,3.84777169205226,0.0,0.0,4.2,108.6,5.83,0.925483968943482,"1,107.30",0.0,10.2,152.0,129.0,1.7,21.3
16,16,2004-05-01,148.186,3.84777169205226,0.0,0.0,5.3,107.7,6.27,0.925483968943482,"1,120.68",0.0,0.0,159.5,125.1,1.9,32.5
17,17,2004-06-01,149.851,3.84777169205226,0.0,0.0,5.8,108.7,6.2875,0.925483968943482,"1,140.84",5.6,0.0,162.1,130.4,2.2,29.5
18,18,2004-07-01,151.338,3.84777169205226,0.0,0.0,5.4,113.1,6.056,0.925483968943482,"1,101.72",5.5,10.1,159.0,127.8,3.0,28.2
19,19,2004-08-01,152.634,3.84777169205226,0.0,0.0,4.7,112.5,5.8675,0.925483968943482,"1,104.24",5.4,0.0,176.6,137.2,2.0,37.4
20,20,2004-09-01,154.18,3.84777169205226,0.0,0.0,4.7,115.5,5.754,0.925483968943482,"1,114.58",5.4,0.0,158.2,136.2,1.7,20.3
21,21,2004-10-01,155.752,3.84777169205226,0.0,0.0,5.9,110.6,5.7225,0.925483968943482,"1,130.20",5.5,10.0,165.1,140.7,2.4,22.0
22,22,2004-11-01,157.528,3.84777169205226,0.0,0.0,6.7,108.4,5.73,0.925483968943482,"1,173.82",5.4,0.0,150.4,128.7,1.6,20.1
23,23,2004-12-01,159.33100000000002,3.84777169205226,0.0,0.0,6.2,108.1,5.752,0.925483968943482,"1,211.92",5.4,0.0,184.1,160.8,2.4,20.8
24,24,2005-01-01,161.289,3.483549937943,0.0,0.0,5.3,108.6,5.71,0.921713167161207,"1,181.27",5.3,10.1,130.9,109.8,3.2,18.0
25,25,2005-02-01,163.344,3.483549937943,0.0,0.0,5.7,110.8,5.6275,0.921713167161207,"1,203.60",5.4,0.0,132.0,111.7,3.5,16.7
26,26,2005-03-01,165.813,3.483549937943,0.0,0.0,6.0,110.0,5.928,0.921713167161207,"1,180.59",5.2,0.0,135.7,116.7,2.1,17.0
27,27,2005-04-01,167.502,3.483549937943,0.0,0.0,6.3,110.4,5.855,0.921713167161207,"1,156.85",5.2,9.8,150.7,126.7,2.2,21.8
28,28,2005-05-01,169.351,3.483549937943,0.0,0.0,5.4,106.9,5.72,0.921713167161207,"1,191.50",5.1,0.0,176.3,145.3,4.2,26.8
29,29,2005-06-01,171.19099999999997,3.483549937943,0.0,0.0,4.8,106.8,5.582,0.921713167161207,"1,191.33",5.0,0.0,171.0,144.5,3.0,23.4
30,30,2005-07-01,172.86,3.483549937943,0.0,0.0,5.8,106.6,5.695,0.921713167161207,"1,234.18",5.0,9.9,158.5,136.3,3.5,18.6
31,31,2005-08-01,174.442,3.483549937943,0.0,0.0,6.9,108.1,5.82,0.921713167161207,"1,220.33",4.9,0.0,178.3,145.0,5.2,28.1
32,32,2005-09-01,176.437,3.483549937943,0.0,0.0,9.0,111.2,5.774,0.921713167161207,"1,228.81",5.0,0.0,172.0,147.8,2.8,21.4
33,33,2005-10-01,178.02700000000002,3.483549937943,0.0,0.0,8.3,111.2,6.065,0.921713167161207,"1,207.01",5.0,9.6,175.7,147.1,2.2,26.3
34,34,2005-11-01,179.68,3.483549937943,0.0,0.0,6.4,112.6,6.33,0.921713167161207,"1,249.48",5.0,0.0,162.8,142.2,1.9,18.8
35,35,2005-12-01,180.91,3.483549937943,0.0,0.0,6.4,115.3,6.272,0.921713167161207,"1,248.29",4.9,0.0,187.5,162.8,3.6,21.1
36,36,2006-01-01,182.32,2.78453963938148,0.0,0.0,7.7,115.7,6.145,0.964253917136075,"1,280.08",4.7,9.5,142.4,115.1,3.2,24.0
37,37,2006-02-01,183.287,2.78453963938148,0.0,0.0,7.0,116.6,6.2525,0.964253917136075,"1,280.66",4.8,0.0,141.7,120.8,4.8,16.1
38,38,2006-03-01,184.365,2.78453963938148,0.0,0.0,6.6,115.1,6.324,0.964253917136075,"1,294.87",4.7,0.0,169.2,144.9,3.5,20.8
39,39,2006-04-01,184.328,2.78453963938148,0.0,0.0,7.0,117.9,6.5075,0.964253917136075,"1,310.61",4.7,9.6,160.3,134.0,2.6,23.8
40,40,2006-05-01,184.155,2.78453963938148,0.0,0.0,7.7,116.4,6.5975,0.964253917136075,"1,270.09",4.6,0.0,158.8,133.7,3.0,22.2
41,41,2006-06-01,183.507,2.78453963938148,0.0,0.0,8.1,122.8,6.682,0.964253917136075,"1,270.20",4.6,0.0,179.6,151.7,2.7,25.2
42,42,2006-07-01,183.066,2.78453963938148,0.0,0.0,8.0,122.5,6.7625,0.964253917136075,"1,276.66",4.7,9.9,163.6,138.7,2.1,22.9
43,43,2006-08-01,182.593,2.78453963938148,0.0,0.0,7.7,123.6,6.523999999999999,0.964253917136075,"1,303.82",4.7,0.0,170.4,142.4,2.8,25.2
44,44,2006-09-01,182.798,2.78453963938148,0.0,0.0,4.0,127.7,6.4025,0.964253917136075,"1,335.85",4.5,0.0,180.9,152.6,2.9,25.4
45,45,2006-10-01,183.197,2.78453963938148,0.0,0.0,2.8,122.0,6.3575,0.964253917136075,"1,377.94",4.4,9.8,172.5,142.4,3.5,26.5
46,46,2006-11-01,183.608,2.78453963938148,0.0,0.0,3.9,117.2,6.24,0.964253917136075,"1,400.63",4.5,0.0,158.9,131.4,4.9,22.6
47,47,2006-12-01,184.138,2.78453963938148,0.0,0.0,5.0,119.8,6.135,0.964253917136075,"1,418.30",4.4,0.0,181.1,146.7,4.8,29.5
48,48,2007-01-01,184.516,2.00385829825838,0.0,0.0,4.137,119.7,6.2175,0.951055242772428,"1,438.24",4.6,10.1,127.3,103.9,2.2,21.1
